,종목코드,종목명,시장구분,종가,시가총액,기준일,EPS,선행EPS,BPS,주당배당금,종목구분
0,000020,동화약품,KOSPI,9900.0,276522000000.0,2024-01-17,736.0,,13165.0,180.0,보통주
1,000040,KR모터스,KOSPI,347.0,33360000000.0,2024-01-17,,,345.0,0.0,보통주
2,000050,경방,KOSPI,8780.0,240706000000.0,2024-01-17,177.0,,30304.0,125.0,보통주
3,000070,삼양홀딩스,KOSPI,63800.0,546401000000.0,2024-01-17,9173.0,,240995.0,3500.0,보통주
4,000075,삼양홀딩스우,KOSPI,52300.0,15902200000.0,2024-01-17,,,,3550.0,우선주
5,000080,하이트진로,KOSPI,21350.0,1497350000000.0,2024-01-17,1250.0,1378.0,16906.0,950.0,보통주
6,000087,하이트진로2우B,KOSPI,15500.0,17517100000.0,2024-01-17,,,,1000.0,우선주
7,000100,유한양행,KOSPI,60400.0,4628970000000.0,2024-01-17,1272.0,1816.0,27137.0,400.0,보통주
8,000105,유한양행우,KOSPI,57800.0,68258300000.0,2024-01-17,,,,410.0,우선주
9,000120,CJ대한통운,KOSPI,123000.0,2805920000000.0,2024-01-17,8190.0,11753.0,179031.0,500.0,보통주
10,000140,하이트진로홀딩스,KOSPI,8480.0,196793000000.0,2024-01-17,1427.0,,26118.0,500.0,보통주
11,000145,하이트진로홀딩스우,KOSPI,12230.0,5758010000.0,2024-01-17,,,,550.0,우선주
12,000150,두산,KOSPI,80300.0,1326860000000.0,2024-01-17,,11278.0,132422.0,2000.0,보통주
13,000155,두산우,KOSPI,45850.0,183238000000.0,2024-01-17,,,,2050.0,우선주
14,000157,두산2우B,KOSPI,63800.0,56975800000.0,2024-01-17,,,,2000.0,우선주
15,000180,성창기업지주,KOSPI,1860.0,129738000000.0,2024-01-17,,,9349.0,0.0,보통주
16,000210,DL,KOSPI,51400.0,1077130000000.0,2024-01-17,2679.0,9512.0,194062.0,1000.0,보통주
17,000215,DL우,KOSPI,24750.0,41731300000.0,2024-01-17,,,,1050.0,우선주
18,000220,유유제약,KOSPI,5340.0,90952800000.0,2024-01-17,,,7144.0,105.0,보통주
