,종목코드,종목명,return
28,000590,CS홀딩스,0.05306799336650081
44,000970,한국주철관,-0.08262108262108259
57,001230,동국홀딩스,-0.3432520468351087
65,001390,KG케미칼,0.4192825112107623
67,001430,세아베스틸지주,0.2401215805471124
86,001770,SHD,-0.39364640883977897
94,001940,KISCO홀딩스,0.5597667638483965
104,002220,한일철강,-0.20860927152317876
106,002240,고려제강,-0.03147699757869249
122,002690,동일제강,-0.11944444444444446
124,002710,TCC스틸,4.18
141,003030,세아제강지주,0.27936507936507926
184,004020,현대제철,-0.07871720116618075
217,004890,동일산업,-0.7802056555269923
224,005010,휴스틸,-0.15364120781527535
229,005160,동국산업,0.43312883435582816
241,005490,POSCO홀딩스,0.3793677204658903
301,007280,한국특강,-0.1774580335731415
327,008260,NI스틸,0.224400871459695
331,008420,문배철강,-0.08682634730538918
342,008970,동양철관,-0.2399598393574297
362,009520,포스코엠텍,2.3245033112582782
424,012160,영흥,-0.2723631508678238
435,012620,원일특강,-0.09594882729211085
492,016380,KG스틸,-0.06896551724137934
511,017480,삼현철강,0.0010373443983402453
540,019440,세아특수강,-0.20059701492537318
558,021040,대호특수강,-0.22338403041825095
573,023440,제이스코홀딩스,-0.5098939929328622
581,023790,동일철강,-0.22670299727520438
610,025550,한국선재,-0.11820330969267134
619,025890,한국주강,-0.33333333333333337
626,026910,광진실업,-0.21085594989561585
627,026940,부국철강,0.13859910581222046
806,039240,경남스틸,0.008223684210526327
907,048470,대동스틸,-0.11597633136094676
972,053260,금강철강,-0.24444444444444446
1029,058650,세아홀딩스,0.026213592233009786
1048,060380,동양에스텍,-0.05707547169811322
1156,069730,DSR제강,-0.22086466165413532
1163,071090,하이스틸,-0.1424657534246575
1266,084010,대한제강,0.10357142857142865
1274,084690,대상홀딩스,0.27721518987341764
1358,092790,넥스틸,
1461,104700,한국철강,0.0
1531,120030,조선선재,-0.0268656716417911
1594,133820,화인베스틸,-0.4758104738154614
1621,139990,아주스틸,-0.2712765957446809
1677,162300,신스틸,-0.6176870748299319
1986,263770,유에스티,-0.09256449165402125
2114,306200,세아제강,-0.08252788104089215
2401,460850,동국씨엠,
