년,월,중국조강생산량(만톤),중국조강누적생산량(만톤),전년대비증가율,누적증가율
2023,11,7609.9,95214,0.4,1.5
2023,10,7909.2,87469.5,-1.8,1.4
2023,9,8210.8,79507.3,-5.6,1.7
2023,8,8641.3,71292.7,3.2,2.6
2023,7,9079.7,62651.4,11.5,2.5
2023,6,9111,53564.1,0.4,1.3
2023,5,9012.3,44462.9,-7.3,1.6
2023,4,9263.5,35438.6,-1.5,4.1
2023,3,9572.6,26155.6,6.9,6.1
2023,2,,16869.6,,5.6
2023,1,,,,
2022,12,7788.9,101300.3,-9.8,-2.1
2022,11,7454.4,93511.3,7.3,-1.4
2022,10,7975.9,86056.9,11,-2.2
2022,9,8694.9,78083.3,17.6,-3.4
2022,8,8386.8,69314.9,0.5,-5.7
2022,7,8142.9,60928,-6.4,-6.4
2022,6,9073,52687.7,-3.3,-6.5
2022,5,9661.3,43501.6,-3.5,-8.7
2022,4,9277.5,33614.6,-5.2,-10.3
2022,3,8829.5,24337.6,-6.4,-10.5
2022,2,,15795.8,,-10
2022,1,,,,
2021,12,8619.3,103278.8,-6.8,-3
2021,11,6931.3,94635.9,-22,-2.6
2021,10,7158.4,87704.6,-23.3,-0.7
2021,9,7375,80588.5,-21.2,2
2021,8,8323.9,73301.5,-13.2,5.3
2021,7,8679,64933.3,-8.4,8
2021,6,9387.5,56332.6,1.5,11.8
2021,5,9945.4,47310.3,6.6,13.9
2021,4,9784.6,37455.7,13.4,15.8
2021,3,9402.1,27104.2,19.1,15.6
2021,2,,17498.9,,12.9
2021,1,,,,
2020,12,9236.5,106476.7,7.7,5.2
2020,11,8766,96115.8,8,5.5
2020,10,9328.2,88340.7,12.7,5.5
2020,9,9357.7,78996.6,10.9,4.5
2020,8,9592.5,69624,8.4,3.7
2020,7,9442,59942.9,9.1,2.8
2020,6,9252,50420.5,4.5,1.4
2020,5,9226.7,41175.1,4.2,1.9
2020,4,8503.3,31946.1,0.2,1.3
2020,3,7897.5,23445,-1.7,1.2
2020,2,,15470.2,,3.1
2020,1,,,,
2019,12,8426.5,99634.2,11.6,8.3
2019,11,8028.7,90417.7,4,7
2019,10,8152.1,82921.5,-0.6,7.4
2019,9,8277.3,74782.4,2.2,8.4
2019,8,8725.1,66486.9,9.3,9.1
2019,7,8522.3,57706.4,5,9
2019,6,8753.3,49216.9,10,9.9
2019,5,8909.1,40487.9,10,10.2
2019,4,8503.2,31496.1,12.7,10.1
2019,3,8032.6,23106.9,10,9.9
2019,2,,14958.1,,9.2
2019,1,,,,
2018,12,7612.1,92826.4,8.2,6.6
2018,11,7762.1,85737.2,10.8,6.7
2018,10,8255.2,78245.8,9.1,6.4
2018,9,8084.5,69942.4,7.5,6.1
2018,8,8032.6,61739.8,2.7,5.8
2018,7,8124.1,53284.6,7.2,6.3
2018,6,8019.6,45115.7,7.5,6
2018,5,8112.7,36985.9,8.9,5.4
2018,4,7669.8,28896.9,4.8,5
2018,3,7398,21215.2,4.5,5.4
2018,2,,13681.7,,5.9
2018,1,,,,
2017,12,6704.7,83172.8,1.8,5.7
2017,11,6615.1,76480.2,2.2,5.7
2017,10,7236.2,70950,6.1,6.1
2017,9,7182.7,63873.1,5.3,6.3
2017,8,7459.4,56640.5,8.7,5.6
2017,7,7402.1,49155.2,10.3,5.1
2017,6,7323.1,41974.5,5.7,4.6
2017,5,7225.9,34683.3,1.8,4.4
2017,4,7277.7,27387,4.9,4.6
2017,3,7199.5,20109.9,1.8,4.6
2017,2,,12876.7,,5.8
2017,1,,,,
2016,12,6721.9,80836.6,3.2,1.2
2016,11,6629,73893.7,5,1.1
2016,10,6850.8,67296,4,0.7
2016,9,6817,60377.7,3.9,0.4
2016,8,6857.1,53631.6,3,-0.1
2016,7,6680.7,46651.6,2.6,-0.5
2016,6,6946.9,39956.3,1.7,-1.1
2016,5,7050.4,32995.3,1.8,-1.4
2016,4,6942.1,26142.2,0.5,-2.3
2016,3,7065.3,19200.5,2.9,-3.2
2016,2,,12106.9,,-5.7
2016,1,,,,
2015,12,6437.2,80382.3,-5.2,-2.3
2015,11,6331.7,73837.7,-1.5,-2.2
2015,10,6612.4,67510.4,-3.1,-2.2
2015,9,6611.8,60893.6,-3,-2.1
2015,8,6694.4,54301.8,-3.5,-2
2015,7,6583.6,47604.2,-4.6,-1.8
2015,6,6894.6,40997.1,-0.8,-1.3
2015,5,6995.3,34016.5,-1.7,-1.6
2015,4,6891,27007.2,-0.7,-1.3
2015,3,6948.3,20010.1,-1.2,-1.7
2015,2,6172,13052.6,-4.8,-1.5
2015,1,,,,
2014,12,6809.1,82269.8,1.5,0.9
2014,11,6330.3,74866.8,-0.2,1.9
2014,10,6751.9,68534.8,-0.3,2.1
2014,9,6754.2,61799.7,,2.3
2014,8,6891.3,55010.1,1,2.6
2014,7,6832.4,48076.4,1.5,2.7
2014,6,6929.3,41191,4.5,3
2014,5,7043.4,34251.8,2.6,2.7
2014,4,6883.5,27186.3,2.1,2.7
2014,3,7024.7,20269.9,2.2,2.4
2014,2,,13080.3,,1.7
2014,1,,,,
2013,12,6235.3,77904.1,6.5,7.5
2013,11,6087.8,71286.2,4.2,7.8
2013,10,6507.9,65248.2,9.2,8.3
2013,9,6542.2,58737.5,11,8
2013,8,6627.6,52184.2,12.8,7.8
2013,7,6547.4,45579.9,6.2,7.1
2013,6,6466.4,38987.3,4.6,7.4
2013,5,6703.4,32524.5,7.3,8
2013,4,6565,25815.2,6.8,8.4
2013,3,6629.6,19189,6.6,9.1
2013,2,,12545.2,,10.6
2013,1,,,,
2012,12,5765.6,71654.2,7.7,3.1
2012,11,5747.1,66012.5,13.7,2.9
2012,10,5909.6,60222.5,6,2.1
2012,9,5794.6,54234.3,0.6,1.7
2012,8,5870.3,48157.3,-1.7,2.3
2012,7,6169.3,41945.8,4.2,2.1
2012,6,6021.3,35719.7,0.6,1.8
2012,5,6123.4,29626.1,2.5,2.2
2012,4,6057.5,23399.3,2.6,1.9
2012,3,6158.1,17421.8,3.9,2.5
2012,2,5588.3,11261.6,3.3,2.2
2012,1,,,,
