날짜,철광석가격,철광석변화율,열연선물가격,열연선물변화율,유연탄가격,유연탄변화율,pmi,pmi변화율
2013-01-02,146.74,,640,,71.75,,50.6,
2013-01-03,151.24,3.066648494,645,0.78125,71.75,,50.6,
2013-01-04,148.91,-1.540597725,655,1.550387597,71.75,,50.6,
2013-01-07,150.16,0.839433215,645,-1.526717557,72.19,0.613240418,50.6,
2013-01-08,152.39,1.485082579,645,0,72.19,0.613240418,50.6,
2013-01-09,151.99,-0.262484415,645,0,72.19,0.613240418,50.6,
2013-01-10,151.66,-0.217119547,640,-0.775193798,72.19,0.613240418,50.6,
2013-01-11,151.16,-0.329684821,639,-0.15625,72.19,0.613240418,50.6,
2013-01-14,152.78,1.071712093,635,-0.625978091,72.71,0.720321374,50.6,
2013-01-15,152.19,-0.386176201,635,0,72.71,0.720321374,50.6,
2013-01-16,151.37,-0.538800184,633,-0.31496063,72.71,0.720321374,50.6,
2013-01-17,151.31,-0.039637973,633,0,72.71,0.720321374,50.6,
2013-01-18,151.57,0.171832661,633,0,72.71,0.720321374,50.6,
2013-01-22,151.35,-0.145147457,633,0,73.45,1.017741714,50.6,
2013-01-23,151.23,-0.079286422,624,-1.421800948,73.45,1.017741714,50.6,
2013-01-24,151.03,-0.132248892,624,0,73.45,1.017741714,50.6,
2013-01-25,150.88,-0.099318016,624,0,73.45,1.017741714,50.6,
2013-01-28,150.8,-0.053022269,624,0,73.9,0.612661675,50.6,
2013-01-29,150.7,-0.066312997,624,0,73.9,0.612661675,50.6,
2013-01-30,150.75,0.0331785,633,1.442307692,73.9,0.612661675,50.6,
2013-01-31,150.86,0.072968491,633,0,73.9,0.612661675,50.6,
2013-02-01,153.64,1.842768129,633,0,73.9,0.612661675,50.4,-0.395256917
2013-02-04,156.15,1.633689143,633,0,75.05,1.556156969,50.4,-0.395256917
2013-02-05,154.83,-0.845341018,633,0,75.05,1.556156969,50.4,-0.395256917
2013-02-06,155.97,0.736291416,628,-0.789889415,75.05,1.556156969,50.4,-0.395256917
2013-02-07,156.65,0.435981278,625,-0.477707006,75.05,1.556156969,50.4,-0.395256917
2013-02-08,157.3,0.414937759,615,-1.6,75.05,1.556156969,50.4,-0.395256917
2013-02-11,156.72,-0.368722187,615,0,75.42,0.493004664,50.4,-0.395256917
2013-02-12,156.83,0.070188872,615,0,75.42,0.493004664,50.4,-0.395256917
2013-02-13,156.62,-0.133902952,612,-0.487804878,75.42,0.493004664,50.4,-0.395256917
2013-02-14,156.37,-0.159622015,611,-0.163398693,75.42,0.493004664,50.4,-0.395256917
2013-02-15,155.28,-0.697064654,611,0,75.42,0.493004664,50.4,-0.395256917
2013-02-19,155.43,0.096599691,611,0,75.7,0.371254309,50.4,-0.395256917
2013-02-20,155.39,-0.025735058,611,0,75.7,0.371254309,50.4,-0.395256917
2013-02-21,155.52,0.083660467,611,0,75.7,0.371254309,50.4,-0.395256917
2013-02-22,155.3,-0.141460905,611,0,75.7,0.371254309,50.4,-0.395256917
2013-02-25,155.21,-0.05795235,610,-0.163666121,76.06,0.475561427,50.4,-0.395256917
2013-02-26,155.01,-0.128857677,610,0,76.06,0.475561427,50.4,-0.395256917
2013-02-27,154.82,-0.122572737,614,0.655737705,76.06,0.475561427,50.4,-0.395256917
2013-02-28,154.64,-0.116264049,614,0,76.06,0.475561427,50.4,-0.395256917
2013-03-01,146.85,-5.037506467,617,0.488599349,76.06,0.475561427,50.1,-0.595238095
2013-03-04,142.96,-2.648961525,617,0,76.24,0.236655272,50.1,-0.595238095
2013-03-05,143.74,0.545607163,612,-0.810372771,76.24,0.236655272,50.1,-0.595238095
2013-03-06,146,1.572283289,612,0,76.24,0.236655272,50.1,-0.595238095
2013-03-07,145.56,-0.301369863,612,0,76.24,0.236655272,50.1,-0.595238095
2013-03-08,145.26,-0.206100577,612,0,76.24,0.236655272,50.1,-0.595238095
2013-03-11,143.91,-0.92936803,612,0,76.4,0.209863589,50.1,-0.595238095
2013-03-12,142.61,-0.903342367,610,-0.326797386,76.4,0.209863589,50.1,-0.595238095
2013-03-13,142.12,-0.343594418,610,0,76.4,0.209863589,50.1,-0.595238095
2013-03-14,140.84,-0.90064734,610,0,76.4,0.209863589,50.1,-0.595238095
2013-03-15,142.28,1.022436808,609,-0.163934426,76.4,0.209863589,50.1,-0.595238095
2013-03-18,141.17,-0.780151813,609,0,76.04,-0.471204188,50.1,-0.595238095
2013-03-19,140.92,-0.17709145,609,0,76.04,-0.471204188,50.1,-0.595238095
2013-03-20,140.71,-0.149020721,609,0,76.04,-0.471204188,50.1,-0.595238095
2013-03-21,140.8,0.063961339,608,-0.164203612,76.04,-0.471204188,50.1,-0.595238095
2013-03-22,140.9,0.071022727,608,0,76.04,-0.471204188,50.1,-0.595238095
2013-03-25,140.7,-0.141944642,608,0,75.8,-0.315623356,50.1,-0.595238095
2013-03-26,140.5,-0.142146411,615,1.151315789,75.8,-0.315623356,50.1,-0.595238095
2013-03-27,140.04,-0.327402135,615,0,75.8,-0.315623356,50.1,-0.595238095
2013-03-28,139.87,-0.121393887,615,0,75.8,-0.315623356,50.1,-0.595238095
2013-04-01,136.7,-2.266390219,612,-0.487804878,75.38,-0.55408971,50.9,1.596806387
2013-04-02,136.59,-0.080468178,612,0,75.38,-0.55408971,50.9,1.596806387
2013-04-03,136.8,0.153744784,613,0.163398693,75.38,-0.55408971,50.9,1.596806387
2013-04-04,137.2,0.292397661,608,-0.815660685,75.38,-0.55408971,50.9,1.596806387
2013-04-05,136.54,-0.481049563,608,0,75.38,-0.55408971,50.9,1.596806387
2013-04-08,137.52,0.717738392,608,0,74.74,-0.849031573,50.9,1.596806387
2013-04-09,138.23,0.51628854,608,0,74.74,-0.849031573,50.9,1.596806387
2013-04-10,138.68,0.325544383,601,-1.151315789,74.74,-0.849031573,50.9,1.596806387
2013-04-11,139,0.230747044,601,0,74.74,-0.849031573,50.9,1.596806387
2013-04-12,138.96,-0.028776978,598,-0.499168053,74.74,-0.849031573,50.9,1.596806387
2013-04-15,138.48,-0.345423143,595,-0.501672241,72.72,-2.702702703,50.9,1.596806387
2013-04-16,138.36,-0.086655113,598,0.504201681,72.72,-2.702702703,50.9,1.596806387
2013-04-17,138.07,-0.20959815,598,0,72.72,-2.702702703,50.9,1.596806387
2013-04-18,138.25,0.130368654,598,0,72.72,-2.702702703,50.9,1.596806387
2013-04-19,138.28,0.021699819,598,0,72.72,-2.702702703,50.9,1.596806387
2013-04-22,138.15,-0.094012149,595,-0.501672241,71.84,-1.210121012,50.9,1.596806387
2013-04-23,138.15,0,595,0,71.84,-1.210121012,50.9,1.596806387
2013-04-24,138.01,-0.101339124,595,0,71.84,-1.210121012,50.9,1.596806387
2013-04-25,137.89,-0.086950221,595,0,71.84,-1.210121012,50.9,1.596806387
2013-04-26,137.89,0,595,0,71.84,-1.210121012,50.9,1.596806387
2013-04-29,137.8,-0.065269418,595,0,71.78,-0.083518931,50.9,1.596806387
2013-04-30,137.44,-0.261248186,595,0,71.78,-0.083518931,50.9,1.596806387
2013-05-01,129,-6.140861467,595,0,71.78,-0.083518931,50.6,-0.589390963
2013-05-02,126.15,-2.209302326,595,0,71.78,-0.083518931,50.6,-0.589390963
2013-05-03,127.46,1.038446294,590,-0.840336134,71.78,-0.083518931,50.6,-0.589390963
2013-05-06,127.5,0.031382394,583,-1.186440678,71.98,0.278629145,50.6,-0.589390963
2013-05-07,130.59,2.423529412,583,0,71.98,0.278629145,50.6,-0.589390963
2013-05-08,130.97,0.290987059,583,0,71.98,0.278629145,50.6,-0.589390963
2013-05-09,130.18,-0.603191571,583,0,71.98,0.278629145,50.6,-0.589390963
2013-05-13,129.38,-0.614533723,583,0,72.04,0.083356488,50.6,-0.589390963
2013-05-14,128.6,-0.602875251,578,-0.857632933,72.04,0.083356488,50.6,-0.589390963
2013-05-15,127.93,-0.520995334,578,0,72.04,0.083356488,50.6,-0.589390963
2013-05-16,127.8,-0.101618072,578,0,72.04,0.083356488,50.6,-0.589390963
